listing_key,ticker,exchange,current_name,twelvedata_name,validation_status,recommended_next_action,rejection_reason
NASDAQ::IAC,IAC,NASDAQ,IAC Inc.,People Incorporated,provider_found_different_name,send_to_manual_or_deepseek_followup_with_additional_evidence,provider_name_supports_neither_current_nor_twelvedata
OTC::TREP,TREP,OTC,"Afinida, Inc.",Trucept Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::LITM,LITM,NASDAQ,Snow Lake Resources Ltd,Frontier Nuclear and Minerals Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
OTC::PNXGF,PNXGF,OTC,Phoenix Group Holdings PLC,Standard Life Plc,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata
OTC::TGSHF,TGSHF,OTC,Mercanto Holdings Inc.,The Good Shroom Co Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::POWW,POWW,NASDAQ,Outdoor Holding Company,Ammo Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata
NASDAQ::QVCGP,QVCGP,NASDAQ,QVC Group Inc.,"Qurate Retail, Inc. - 8.0% Fixed Rate Cumulative Redeemable Preferred Stock",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
OTC::EBYH,EBYH,OTC,"Strainsforpains, Inc.",E-Buy Home Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata
NASDAQ::MOVE,MOVE,NASDAQ,"Corvex, Inc.","Santa Fe Community College District 5.00% General Obligation Bonds, Series A, due August 1, 2025",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::DOMO,DOMO,NASDAQ,Domo Inc,Illinois Housing Development Authority Revenue Bonds Series A2 Refunding 3% due 08/01/2023,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::LMNX,LMNX,NASDAQ,Defiance Daily Target 2x Long LMND ETF,Luminex Corp.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
OTC::PCLOF,PCLOF,OTC,Pharmacielo Ltd,G2TW Bonds 9.5% 1989 Floating Rate,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::EMPD,EMPD,NASDAQ,Empery Digital Inc.,"Volcon, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::HTO,HTO,NASDAQ,H2O America,SJW Group,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NYSE::RPC,RPC,NYSE,"Ridgepost Capital, Inc",P10 Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
OTC::FHNPV,FHNPV,OTC,FHNPV,"First Horizon Corporation 6.750% Non-Cumulative Perpetual Preferred Stock, Series H",no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name
NASDAQ::KYNB,KYNB,NASDAQ,"Kyntra Bio, Inc.","FibroGen, Inc.",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
OTC::KWGBF,KWGBF,OTC,The Canadian Chrome Company Inc.,Kwg Resources Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
OTC::SLMNP,SLMNP,OTC,A. Schulman Inc,LyondellBasell Industries N.V. 6% Perpetual Preferred Stock,no_second_source_name_match,needs_more_second_source_evidence,no_provider_supplied_usable_matching_name
NASDAQ::ADAMZ,ADAMZ,NASDAQ,"Adamas Trust, Inc","New York Mortgage Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::KUST,KUST,NASDAQ,"Kustom Entertainment, Inc.",Digital Ally Inc.,second_source_supports_local_name,keep_local_name_and_record_twelvedata_as_non_authoritative_mismatch,second_source_supports_current_local_name
NASDAQ::YYAI,YYAI,NASDAQ,AiRWA Inc.,Connexa Sports Technologies Inc.,conflicting_second_source_evidence,manual_identity_review_required_before_any_apply,provider_evidence_conflicts_between_local_and_twelvedata
