old_listing_key,new_listing_key,event_type,identity_type,identity_value,confidence,source_key,source_url,reason
NASDAQ::APGE,,delisted,exact_isin,US03770N1019,0.99,nasdaq_trading_system_adds_deletes,https://www.nasdaqtrader.com/dynamic/SymDir/TradingSystemAddsDeletes.txt,Official Nasdaq Trader trading-system delete for NASDAQ::APGE Apogee Therapeutics; exact-ISIN US03770N1019.
NASDAQ::BTOG,NASDAQ::SGRX,symbol_changed,same_isin,KYG216211345,0.99,nasdaq_listed,https://www.nasdaqtrader.com/dynamic/symdir/nasdaqlisted.txt,"Official Nasdaq Trader directory dropped NASDAQ::BTOG and listed NASDAQ::SGRX; the still-published official name for the vanished ticker matches the new directory name, and the predecessor ISIN KYG216211345 is retained."
NASDAQ::CMII,NASDAQ::IPXG,symbol_changed,same_isin,KYG2296M1033,0.99,sec_8k_name_symbol_change,https://www.sec.gov/Archives/edgar/data/2088805/000121390026093821/ea0303421-8k_inflection7.htm,SEC Form 8-K confirms Columbus Circle Capital Corp II changed its name and common-share ticker from CMII to IPXG effective 2026-08-27 while the security CUSIP remained unchanged; canonical rows retain ISIN KYG2296M1033.
NASDAQ::GGRP,NASDAQ::BTLN,symbol_changed,same_isin,US37892C1062,0.99,sec_8k_name_symbol_change,https://www.sec.gov/Archives/edgar/data/1854445/000149315226039128/form8-k.htm,SEC Form 8-K states that GGRP becomes BTLN and that the common-stock CUSIP does not change; the corresponding US ISIN remains US37892C1062.
NASDAQ::JFB,,delisted,exact_isin,US46658E1073,0.99,nasdaq_trading_system_adds_deletes,https://www.nasdaqtrader.com/dynamic/SymDir/TradingSystemAddsDeletes.txt,Official Nasdaq Trader trading-system delete for NASDAQ::JFB JFB Construction Holdings; exact-ISIN US46658E1073.
NASDAQ::TUGN,NASDAQ::SEPQ,symbol_changed,same_isin,US53656F1690,0.99,shelton_issuer_announcement,https://advisor.sheltoncap.com/2026/08/21/shelton-capital-management-announces-ticker-symbol-update-from-tugn-to-sepq/,Fund-manager announcement identifies SEPQ as the new ticker for TUGN with the same fund and CUSIP; canonical rows retain ISIN US53656F1690.
NYSE MKT::BGI,,delisted,exact_isin,CA09088U1093,0.99,birks_sec_form25,https://www.sec.gov/Archives/edgar/data/1179821/000119312526353495/d142836d25.htm,Birks filed SEC Form 25 on 2026-08-17 to withdraw its Class A Voting Shares from NYSE American; this evidence removes only NYSE MKT::BGI and does not infer an OTC replacement.
NYSE::HLX,,delisted,exact_isin,US42330P1075,0.99,helix_hornbeck_merger_close,https://www.sec.gov/Archives/edgar/data/866829/000114036126035065/ef20081337_ex99-1.htm,Helix Energy Solutions completed its all-stock combination with Hornbeck on 2026-09-01; HLX ceased NYSE trading at the close of 2026-09-01 and the surviving listed company trades as NYSE::HOS. This evidence removes only NYSE::HLX; the existing HOS row is a distinct listing key and is not rewritten here.
NYSE::OPAD,NASDAQ::OPAD,venue_changed,same_isin,US67623L5057,0.99,nasdaq_transfer_notice,https://www.nasdaqtrader.com/TraderNews.aspx?id=DTN2026-18,Nasdaq confirms that Offerpad moves from NYSE to Nasdaq on 2026-08-31 under the same OPAD ticker and CUSIP 67623L505; canonical rows retain ISIN US67623L5057.
NYSE::SBEV,NYSE MKT::EDVA,listing_changed,same_isin,US84862C3025,0.99,sec_issuer_name_symbol_change,https://www.sec.gov/Archives/edgar/data/1553788/000173112226001120/e7881_ex99-1.htm,SEC issuer announcement confirms Splash Beverage Group changed its name and NYSE American ticker from SBEV to EDVA effective 2026-08-24 without affecting shareholder rights; canonical rows retain ISIN US84862C3025 while correcting the predecessor venue label to NYSE MKT.
OTC::QNBC,NASDAQ::QNBC,venue_changed,same_isin,US74726N1072,0.99,qnb_issuer_announcement,https://www.qnbbank.com/qnb-corp-announces-pricing-of-common-stock-offering-and-announces-qnbc-stocks-move-to-the-nasdaq-capital-market/,Issuer announcement identifies QNBC as moving from OTCQX to Nasdaq; canonical rows retain ISIN US74726N1072.
